epoch,accuracy,auc,false_negatives,false_positives,loss,mean_absolute_error,mean_squared_error,precision,recall,root_mean_squared_error,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_mean_absolute_error,val_mean_squared_error,val_precision,val_recall,val_root_mean_squared_error,val_true_negatives,val_true_positives
0,0.1354403793811798,0.780022144317627,860240.0,1056134.0,0.48295706510543823,0.13816063106060028,0.05432230234146118,0.20365938544273376,0.23895464837551117,0.233071431517601,27370322.0,270100.0,0.13501673936843872,0.6164563894271851,37247.0,11501.0,0.5064520835876465,0.138994500041008,0.03878694027662277,0.5776659846305847,0.296934574842453,0.19694368541240692,1369121.0,15731.0
1,0.27111053466796875,0.8518838286399841,658469.0,1166313.0,0.3659093677997589,0.1273888498544693,0.050162266939878464,0.28804516792297363,0.4174593389034271,0.22396934032440186,27260144.0,471871.0,0.817578136920929,0.759575366973877,37846.0,7485.0,0.4680345356464386,0.13728171586990356,0.04413371533155441,0.6690542697906494,0.28562799096107483,0.21008047461509705,1373137.0,15132.0
2,0.5864526629447937,0.8730037808418274,600582.0,1606785.0,0.3349968194961548,0.1244877353310585,0.055904556065797806,0.24795101583003998,0.46867138147354126,0.2364414632320404,26819678.0,529758.0,0.8496596217155457,0.8593106269836426,35571.0,127407.0,0.39956772327423096,0.13307736814022064,0.060996223241090775,0.12020246684551239,0.32857033610343933,0.24697396159172058,1253215.0,17407.0
3,0.7853042483329773,0.8889583349227905,572351.0,2247889.0,0.31831857562065125,0.12302178144454956,0.07145991921424866,0.19886431097984314,0.493647038936615,0.26731985807418823,26178572.0,557989.0,0.8606417179107666,0.8810055255889893,35246.0,129144.0,0.3848370611667633,0.13200291991233826,0.08361129462718964,0.12072768807411194,0.3347049653530121,0.2891556918621063,1251478.0,17732.0
4,0.8510456085205078,0.8956629633903503,554781.0,2510145.0,0.3078174293041229,0.12208271771669388,0.08333928138017654,0.1865243762731552,0.5091910362243652,0.2886854410171509,25916316.0,575559.0,0.8742634057998657,0.890056848526001,33113.0,128451.0,0.34739598631858826,0.12990012764930725,0.1000821441411972,0.13393700122833252,0.37496697902679443,0.3163575530052185,1252171.0,19865.0
5,0.8753472566604614,0.8978071212768555,541078.0,2611033.0,0.29982635378837585,0.12132859230041504,0.09066915512084961,0.18412740528583527,0.5213139653205872,0.30111318826675415,25815422.0,589262.0,0.8870256543159485,0.8888818025588989,33096.0,127877.0,0.330414354801178,0.12930473685264587,0.10395077615976334,0.13455694913864136,0.37528786063194275,0.32241374254226685,1252745.0,19882.0
6,0.8841912746429443,0.8978972434997559,533594.0,2645121.0,0.2941998541355133,0.1209292933344841,0.09445798397064209,0.1840747892856598,0.5279349684715271,0.30734017491340637,25781338.0,596746.0,0.8868024349212646,0.8869053721427917,31146.0,129393.0,0.3205295205116272,0.12706859409809113,0.10477442294359207,0.14436766505241394,0.4120955765247345,0.3236880898475647,1251229.0,21832.0
7,0.8893073797225952,0.8982188701629639,525164.0,2659938.0,0.2884560525417328,0.12042222172021866,0.09644405543804169,0.18534605205059052,0.5353928804397583,0.3105544447898865,25766524.0,605176.0,0.8895591497421265,0.8885780572891235,29844.0,130204.0,0.3107846677303314,0.12530680000782013,0.10511011630296707,0.15086932480335236,0.43667182326316833,0.32420676946640015,1250418.0,23134.0
8,0.8923797011375427,0.8986355066299438,518921.0,2665724.0,0.2841615378856659,0.11998141556978226,0.09748625010251999,0.18657074868679047,0.5409160256385803,0.31222787499427795,25760736.0,611419.0,0.8980692028999329,0.8916811347007751,28580.0,129755.0,0.2899881601333618,0.12388643622398376,0.10433167964220047,0.15827132761478424,0.4605307877063751,0.3230041563510895,1250867.0,24398.0
9,0.8950614333152771,0.8985175490379333,515119.0,2673327.0,0.2807234525680542,0.11976351588964462,0.0985669195652008,0.18707983195781708,0.5442795753479004,0.3139536678791046,25753130.0,615221.0,0.9000892639160156,0.8933631777763367,26762.0,130796.0,0.28102898597717285,0.12190088629722595,0.1040080338716507,0.16696813702583313,0.494846910238266,0.32250288128852844,1249826.0,26216.0
10,0.8967227935791016,0.8988853693008423,508648.0,2674193.0,0.2771857678890228,0.11938859522342682,0.09879332035779953,0.1886267215013504,0.5500044226646423,0.3143140375614166,25752272.0,621692.0,0.906238853931427,0.8951623439788818,25353.0,130462.0,0.2622615694999695,0.12054862082004547,0.10309306532144547,0.17474554479122162,0.5214428901672363,0.32108110189437866,1250160.0,27625.0
11,0.8979017734527588,0.8991418480873108,503975.0,2677218.0,0.2744331657886505,0.11913131922483444,0.09903162717819214,0.18960171937942505,0.5541386008262634,0.314692884683609,25749244.0,626365.0,0.9092410802841187,0.8969051241874695,24865.0,130201.0,0.25336331129074097,0.11989302188158035,0.10268136113882065,0.17757746577262878,0.53065425157547,0.32043933868408203,1250421.0,28113.0
12,0.8988171815872192,0.8991542458534241,503418.0,2677816.0,0.27302443981170654,0.11906154453754425,0.09933407604694366,0.18970400094985962,0.5546313524246216,0.31517308950424194,25748648.0,626922.0,0.9104966521263123,0.8973529934883118,23956.0,130490.0,0.2475532591342926,0.1190374568104744,0.10239262133836746,0.181942418217659,0.547812283039093,0.31998854875564575,1250132.0,29022.0
13,0.8996651768684387,0.899692952632904,498665.0,2677460.0,0.27004274725914,0.1187468096613884,0.09926272183656693,0.19088825583457947,0.5588362812995911,0.3150598704814911,25748996.0,631675.0,0.9118526577949524,0.8974605798721313,23274.0,130692.0,0.24373739957809448,0.11850783228874207,0.10221125930547714,0.18519164621829987,0.5606855750083923,0.31970492005348206,1249930.0,29704.0
14,0.900691032409668,0.8997282385826111,495916.0,2679358.0,0.2682901918888092,0.11861138790845871,0.09953205287456512,0.19145013391971588,0.5612682700157166,0.31548699736595154,25747108.0,634424.0,0.9122377038002014,0.8976377248764038,22818.0,131221.0,0.24256572127342224,0.11815965175628662,0.10218498110771179,0.18688693642616272,0.5692929029464722,0.31966379284858704,1249401.0,30160.0
15,0.9014164209365845,0.9000898599624634,492640.0,2680065.0,0.2663770318031311,0.11842060834169388,0.0994327962398529,0.1922077089548111,0.5641665458679199,0.3153296411037445,25746392.0,637700.0,0.9126952886581421,0.8987294435501099,22437.0,131446.0,0.2406935840845108,0.11745604127645493,0.10211529582738876,0.18853981792926788,0.5764845609664917,0.3195549249649048,1249176.0,30541.0
16,0.9026517271995544,0.9002407193183899,489001.0,2682357.0,0.2641834318637848,0.11818977445363998,0.099737249314785,0.19295959174633026,0.5673859119415283,0.31581202149391174,25744104.0,641339.0,0.9137388467788696,0.8988112211227417,22272.0,131345.0,0.2379332184791565,0.11750466376543045,0.10201626271009445,0.18948355317115784,0.5795990824699402,0.31939977407455444,1249277.0,30706.0
17,0.9035310745239258,0.9003482460975647,486366.0,2683646.0,0.26232415437698364,0.11803383380174637,0.099969781935215,0.19352389872074127,0.5697170495986938,0.31617996096611023,25742816.0,643974.0,0.9138504266738892,0.8995788097381592,21898.0,131649.0,0.23714105784893036,0.11697012931108475,0.10196254402399063,0.19099238514900208,0.5866585969924927,0.31931573152542114,1248973.0,31080.0
18,0.9038388729095459,0.9004440307617188,483756.0,2684255.0,0.2609395384788513,0.11788920313119888,0.09994140267372131,0.19412046670913696,0.5720261335372925,0.31613507866859436,25742204.0,646584.0,0.9141852855682373,0.8998167514801025,22001.0,131412.0,0.23558580875396729,0.11701085418462753,0.10193151235580444,0.19075798988342285,0.584714412689209,0.319267213344574,1249210.0,30977.0
19,0.9049593806266785,0.9006066918373108,481442.0,2685115.0,0.25928762555122375,0.11773271858692169,0.10018360614776611,0.1946297138929367,0.574073314666748,0.3165179491043091,25741340.0,648898.0,0.9144531488418579,0.8990919589996338,21967.0,131573.0,0.23541982471942902,0.11725372076034546,0.10195357352495193,0.19073832035064697,0.5853561758995056,0.31930166482925415,1249049.0,31011.0
20,0.9054290056228638,0.9004780650138855,479117.0,2686596.0,0.25792041420936584,0.1176217794418335,0.10029193758964539,0.19510434567928314,0.576130211353302,0.31668901443481445,25739860.0,651223.0,0.9147377014160156,0.8999505043029785,21409.0,132097.0,0.2333165854215622,0.11668860167264938,0.10187606513500214,0.19288673996925354,0.5958888530731201,0.31918036937713623,1248525.0,31569.0
